################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   6.8628089801601490E-03   1.1957675934624430E-01   3.2679923712484273E-02   6.7159179081565032E-03
         1          2   7.7292062265795825E-02   2.4135525089606075E-01   1.5462278503918145E-01   9.6049169715847604E-03
         1          3   0.0000000000000000E+00   1.2153118258062539E-02   6.5654509614681343E-06   6.3885950957580438E-05
         1          4   0.0000000000000000E+00   2.4228353169669505E-02   8.7959765865179885E-05   5.3032188646957358E-04
         1          5   7.3257711551732441E-02   4.5340666535482133E-01   1.8944803319760270E-01   3.0379288531427351E-02
         1          6   2.5235831907438389E-01   5.3477297118344569E-01   3.5944722761766235E-01   3.2516782520817800E-02
         1          7   0.0000000000000000E+00   8.3978688409774474E-02   1.6442128853352836E-04   9.5265188356326042E-04
         1          8   0.0000000000000000E+00   1.2857767509101034E-01   1.1061959682748990E-03   5.3447323140823899E-03
         1          9   2.2494138729779894E-01   1.1515726003721094E+00   5.3137438994463493E-01   1.0214952083597573E-01
         1         10   2.1111310814487666E-01   6.5568847978630551E-01   4.0137359086525659E-01   7.3356871376644067E-02
         1         11   0.0000000000000000E+00   2.1347939465350058E-01   1.8029011078407803E-03   7.0205933399461826E-03
         1         12   0.0000000000000000E+00   2.6172193909483354E-01   5.7754128457545477E-03   2.2818479231303167E-02
         1         13   1.5660434406210272E-01   1.8651904327888176E+00   9.0563489720370505E-01   1.7638782570766368E-01
         1         14   5.9897508023334572E-02   8.4515147596580509E-01   3.8184738000598589E-01   8.4455129282576286E-02
         1         15   0.0000000000000000E+00   3.3354000944001627E-01   8.7196576565065111E-03   2.5673768244698275E-02
         1         16   0.0000000000000000E+00   4.0955059163432456E-01   1.3595571878536985E-02   4.3258105120490414E-02
         1         17   5.9404760668495177E-02   1.9458869529847413E+00   1.0982672988777307E+00   1.9268659410020880E-01
         1         18   1.5717631952327987E-02   1.0394020283226477E+00   4.8696236045502012E-01   1.1227903725782190E-01
         1         19   0.0000000000000000E+00   4.6267309624345715E-01   1.9145442406817016E-02   4.6389562432135607E-02
         1         20   0.0000000000000000E+00   5.0452769306063106E-01   1.7751698690816532E-02   4.3673055072813868E-02
         1         21   1.0683166664060610E-01   1.7778525601036799E+00   1.0398165718204397E+00   1.6787578689207291E-01
         1         22   3.0425598607169573E-02   9.5775415344698134E-01   5.4924365815380927E-01   9.5528888323875863E-02
